frame,time_seconds,dominant_slot,tension_chords,glassy_arps,broken_beat,granular_texture
0,0.0,tension_chords,1.0,0.0,0.0,0.0
1,0.04,tension_chords,1.0,0.0,0.0,0.0
2,0.08,tension_chords,1.0,0.0,0.0,0.0
3,0.12,tension_chords,1.0,0.0,0.0,0.0
4,0.16,tension_chords,1.0,0.0,0.0,0.0
5,0.2,tension_chords,1.0,0.0,0.0,0.0
6,0.24,tension_chords,1.0,0.0,0.0,0.0
7,0.28,tension_chords,1.0,0.0,0.0,0.0
8,0.32,tension_chords,1.0,0.0,0.0,0.0
9,0.36,tension_chords,1.0,0.0,0.0,0.0
10,0.4,tension_chords,1.0,0.0,0.0,0.0
11,0.44,tension_chords,1.0,0.0,0.0,0.0
12,0.48,tension_chords,1.0,0.0,0.0,0.0
13,0.52,tension_chords,1.0,0.0,0.0,0.0
14,0.56,tension_chords,1.0,0.0,0.0,0.0
15,0.6,tension_chords,1.0,0.0,0.0,0.0
16,0.64,tension_chords,1.0,0.0,0.0,0.0
17,0.68,tension_chords,1.0,0.0,0.0,0.0
18,0.72,tension_chords,1.0,0.0,0.0,0.0
19,0.76,tension_chords,1.0,0.0,0.0,0.0
20,0.8,tension_chords,1.0,0.0,0.0,0.0
21,0.84,tension_chords,1.0,0.0,0.0,0.0
22,0.88,tension_chords,1.0,0.0,0.0,0.0
23,0.92,tension_chords,1.0,0.0,0.0,0.0
24,0.96,tension_chords,1.0,0.0,0.0,0.0
25,1.0,tension_chords,1.0,0.0,0.0,0.0
26,1.04,tension_chords,1.0,0.0,0.0,0.0
27,1.08,tension_chords,1.0,0.0,0.0,0.0
28,1.12,tension_chords,1.0,0.0,0.0,0.0
29,1.16,tension_chords,1.0,0.0,0.0,0.0
30,1.2,tension_chords,1.0,0.0,0.0,0.0
31,1.24,tension_chords,1.0,0.0,0.0,0.0
32,1.28,tension_chords,1.0,0.0,0.0,0.0
33,1.32,tension_chords,1.0,0.0,0.0,0.0
34,1.36,tension_chords,1.0,0.0,0.0,0.0
35,1.4,tension_chords,1.0,0.0,0.0,0.0
36,1.44,tension_chords,1.0,0.0,0.0,0.0
37,1.48,tension_chords,0.945455,0.054545,0.0,0.0
38,1.52,tension_chords,0.872727,0.127273,0.0,0.0
39,1.56,tension_chords,0.8,0.2,0.0,0.0
40,1.6,tension_chords,0.727273,0.272727,0.0,0.0
41,1.64,tension_chords,0.654545,0.345455,0.0,0.0
42,1.68,tension_chords,0.581818,0.418182,0.0,0.0
43,1.72,tension_chords,0.509091,0.490909,0.0,0.0
44,1.76,glassy_arps,0.436364,0.563636,0.0,0.0
45,1.8,glassy_arps,0.363636,0.636364,0.0,0.0
46,1.84,glassy_arps,0.290909,0.709091,0.0,0.0
47,1.88,glassy_arps,0.218182,0.781818,0.0,0.0
48,1.92,glassy_arps,0.145455,0.854545,0.0,0.0
49,1.96,glassy_arps,0.072727,0.927273,0.0,0.0
50,2.0,glassy_arps,0.0,1.0,0.0,0.0
51,2.04,glassy_arps,0.0,1.0,0.0,0.0
52,2.08,glassy_arps,0.0,1.0,0.0,0.0
53,2.12,glassy_arps,0.0,1.0,0.0,0.0
54,2.16,glassy_arps,0.0,1.0,0.0,0.0
55,2.2,glassy_arps,0.0,1.0,0.0,0.0
56,2.24,glassy_arps,0.0,1.0,0.0,0.0
57,2.28,glassy_arps,0.0,1.0,0.0,0.0
58,2.32,glassy_arps,0.0,1.0,0.0,0.0
59,2.36,glassy_arps,0.0,1.0,0.0,0.0
60,2.4,glassy_arps,0.0,1.0,0.0,0.0
61,2.44,glassy_arps,0.0,1.0,0.0,0.0
62,2.48,glassy_arps,0.0,1.0,0.0,0.0
63,2.52,glassy_arps,0.0,1.0,0.0,0.0
64,2.56,glassy_arps,0.0,1.0,0.0,0.0
65,2.6,glassy_arps,0.0,1.0,0.0,0.0
66,2.64,glassy_arps,0.0,1.0,0.0,0.0
67,2.68,glassy_arps,0.0,1.0,0.0,0.0
68,2.72,glassy_arps,0.0,1.0,0.0,0.0
69,2.76,glassy_arps,0.0,1.0,0.0,0.0
70,2.8,glassy_arps,0.0,1.0,0.0,0.0
71,2.84,glassy_arps,0.0,1.0,0.0,0.0
72,2.88,glassy_arps,0.0,1.0,0.0,0.0
73,2.92,glassy_arps,0.0,1.0,0.0,0.0
74,2.96,glassy_arps,0.0,1.0,0.0,0.0
75,3.0,glassy_arps,0.0,1.0,0.0,0.0
76,3.04,glassy_arps,0.0,1.0,0.0,0.0
77,3.08,glassy_arps,0.0,1.0,0.0,0.0
78,3.12,glassy_arps,0.0,1.0,0.0,0.0
79,3.16,glassy_arps,0.0,1.0,0.0,0.0
80,3.2,glassy_arps,0.0,1.0,0.0,0.0
81,3.24,glassy_arps,0.0,1.0,0.0,0.0
82,3.28,glassy_arps,0.0,1.0,0.0,0.0
83,3.32,glassy_arps,0.0,1.0,0.0,0.0
84,3.36,glassy_arps,0.0,1.0,0.0,0.0
85,3.4,glassy_arps,0.0,1.0,0.0,0.0
86,3.44,glassy_arps,0.0,1.0,0.0,0.0
87,3.48,glassy_arps,0.0,0.945455,0.054545,0.0
88,3.52,glassy_arps,0.0,0.872727,0.127273,0.0
89,3.56,glassy_arps,0.0,0.8,0.2,0.0
90,3.6,glassy_arps,0.0,0.727273,0.272727,0.0
91,3.64,glassy_arps,0.0,0.654545,0.345455,0.0
92,3.68,glassy_arps,0.0,0.581818,0.418182,0.0
93,3.72,glassy_arps,0.0,0.509091,0.490909,0.0
94,3.76,broken_beat,0.0,0.436364,0.563636,0.0
95,3.8,broken_beat,0.0,0.363636,0.636364,0.0
96,3.84,broken_beat,0.0,0.290909,0.709091,0.0
97,3.88,broken_beat,0.0,0.218182,0.781818,0.0
98,3.92,broken_beat,0.0,0.145455,0.854545,0.0
99,3.96,broken_beat,0.0,0.072727,0.927273,0.0
100,4.0,broken_beat,0.0,0.0,1.0,0.0
101,4.04,broken_beat,0.0,0.0,1.0,0.0
102,4.08,broken_beat,0.0,0.0,1.0,0.0
103,4.12,broken_beat,0.0,0.0,1.0,0.0
104,4.16,broken_beat,0.0,0.0,1.0,0.0
105,4.2,broken_beat,0.0,0.0,1.0,0.0
106,4.24,broken_beat,0.0,0.0,1.0,0.0
107,4.28,broken_beat,0.0,0.0,1.0,0.0
108,4.32,broken_beat,0.0,0.0,1.0,0.0
109,4.36,broken_beat,0.0,0.0,1.0,0.0
110,4.4,broken_beat,0.0,0.0,1.0,0.0
111,4.44,broken_beat,0.0,0.0,1.0,0.0
112,4.48,broken_beat,0.0,0.0,1.0,0.0
113,4.52,broken_beat,0.0,0.0,1.0,0.0
114,4.56,broken_beat,0.0,0.0,1.0,0.0
115,4.6,broken_beat,0.0,0.0,1.0,0.0
116,4.64,broken_beat,0.0,0.0,1.0,0.0
117,4.68,broken_beat,0.0,0.0,1.0,0.0
118,4.72,broken_beat,0.0,0.0,1.0,0.0
119,4.76,broken_beat,0.0,0.0,1.0,0.0
120,4.8,broken_beat,0.0,0.0,1.0,0.0
121,4.84,broken_beat,0.0,0.0,1.0,0.0
122,4.88,broken_beat,0.0,0.0,1.0,0.0
123,4.92,broken_beat,0.0,0.0,1.0,0.0
124,4.96,broken_beat,0.0,0.0,1.0,0.0
125,5.0,broken_beat,0.0,0.0,1.0,0.0
126,5.04,broken_beat,0.0,0.0,1.0,0.0
127,5.08,broken_beat,0.0,0.0,1.0,0.0
128,5.12,broken_beat,0.0,0.0,1.0,0.0
129,5.16,broken_beat,0.0,0.0,1.0,0.0
130,5.2,broken_beat,0.0,0.0,1.0,0.0
131,5.24,broken_beat,0.0,0.0,1.0,0.0
132,5.28,broken_beat,0.0,0.0,1.0,0.0
133,5.32,broken_beat,0.0,0.0,1.0,0.0
134,5.36,broken_beat,0.0,0.0,1.0,0.0
135,5.4,broken_beat,0.0,0.0,1.0,0.0
136,5.44,broken_beat,0.0,0.0,1.0,0.0
137,5.48,broken_beat,0.0,0.0,0.945455,0.054545
138,5.52,broken_beat,0.0,0.0,0.872727,0.127273
139,5.56,broken_beat,0.0,0.0,0.8,0.2
140,5.6,broken_beat,0.0,0.0,0.727273,0.272727
141,5.64,broken_beat,0.0,0.0,0.654545,0.345455
