frame,time_seconds,beat_position,bar_position,section,energy,dominant_slot,tension_chords,glassy_arps,broken_beat,granular_texture,temperature,top_k,cfg_musiccoca,cfg_notes,cfg_drums,drum_gate
0,0.0,0.0,0.0,intro,0.12,granular_texture,0.275756,0.28325,0.139207,0.301788,0.8114,62,2.2405,0.6438,0.7183,0
1,0.04,0.0693,0.0173,intro,0.120001,tension_chords,0.314138,0.284082,0.094408,0.307372,0.8121,62,2.251,0.6921,0.5683,0
2,0.08,0.1387,0.0347,intro,0.120005,tension_chords,0.343922,0.272523,0.061688,0.321867,0.8138,61,2.2764,0.7253,0.4587,0
3,0.12,0.208,0.052,intro,0.120012,tension_chords,0.359956,0.249432,0.042938,0.347674,0.8169,60,2.29,0.7372,0.3959,0
4,0.16,0.2773,0.0693,intro,0.120021,granular_texture,0.359591,0.213788,0.035337,0.391283,0.8222,59,2.3167,0.7243,0.3704,0
5,0.2,0.3467,0.0867,intro,0.120033,granular_texture,0.352166,0.173999,0.033024,0.440811,0.8281,57,2.3588,0.7011,0.3627,0
6,0.24,0.416,0.104,intro,0.120048,granular_texture,0.349095,0.138776,0.032148,0.47998,0.8328,56,2.3922,0.6849,0.3597,0
7,0.28,0.4853,0.1213,intro,0.120065,granular_texture,0.354036,0.110969,0.033268,0.501727,0.8354,54,2.4108,0.6814,0.3635,0
8,0.32,0.5547,0.1387,intro,0.120085,granular_texture,0.368136,0.091355,0.04161,0.4989,0.8351,54,2.4084,0.6921,0.3915,0
9,0.36,0.624,0.156,intro,0.120107,granular_texture,0.399042,0.081434,0.067455,0.45207,0.8295,53,2.3687,0.7273,0.4781,0
10,0.4,0.6933,0.1733,intro,0.120132,tension_chords,0.420115,0.075529,0.119477,0.384879,0.8214,53,2.3417,0.7516,0.6524,0
11,0.44,0.7627,0.1907,intro,0.120159,tension_chords,0.40239,0.068792,0.191863,0.336955,0.8157,53,2.3267,0.7271,0.8949,0
12,0.48,0.832,0.208,intro,0.120189,tension_chords,0.37029,0.063544,0.254604,0.311562,0.8127,52,2.2996,0.6851,1.1051,0
13,0.52,0.9013,0.2253,intro,0.120222,tension_chords,0.352256,0.062014,0.273586,0.312144,0.8128,52,2.2844,0.662,1.1688,0
14,0.56,0.9707,0.2427,intro,0.120257,granular_texture,0.340263,0.063131,0.249479,0.347128,0.817,52,2.2802,0.6474,1.088,0
15,0.6,1.04,0.26,intro,0.120295,granular_texture,0.323122,0.067655,0.206215,0.403009,0.8237,53,2.3279,0.6276,0.9431,0
16,0.64,1.1093,0.2773,intro,0.120335,granular_texture,0.30491,0.080067,0.157435,0.457588,0.8303,53,2.3744,0.6092,0.7798,0
17,0.68,1.1787,0.2947,intro,0.120378,granular_texture,0.29198,0.105347,0.110938,0.491735,0.8344,54,2.4037,0.6018,0.6241,0
18,0.72,1.248,0.312,intro,0.120423,granular_texture,0.285437,0.142996,0.073836,0.497731,0.8351,56,2.409,0.6068,0.4998,0
19,0.76,1.3173,0.3293,intro,0.120471,granular_texture,0.283353,0.185724,0.05061,0.480314,0.8331,58,2.3944,0.6192,0.4221,0
20,0.8,1.3867,0.3467,intro,0.120521,granular_texture,0.287002,0.230803,0.041661,0.440535,0.8283,60,2.3608,0.6395,0.3921,0
21,0.84,1.456,0.364,intro,0.120574,granular_texture,0.287527,0.273287,0.041143,0.398043,0.8232,61,2.3249,0.6551,0.3905,0
22,0.88,1.5253,0.3813,intro,0.12063,granular_texture,0.274566,0.300518,0.04152,0.383396,0.8215,62,2.3127,0.6484,0.3918,0
23,0.92,1.5947,0.3987,intro,0.120687,granular_texture,0.259009,0.31551,0.041734,0.383747,0.8216,63,2.3132,0.6342,0.3926,0
24,0.96,1.664,0.416,intro,0.120748,granular_texture,0.241231,0.312671,0.045681,0.400417,0.8236,63,2.3277,0.611,0.4059,0
25,1.0,1.7333,0.4333,intro,0.12081,granular_texture,0.217919,0.285551,0.062394,0.434136,0.8277,62,2.3566,0.5723,0.4619,0
26,1.04,1.8027,0.4507,intro,0.120875,granular_texture,0.193171,0.242513,0.100191,0.464125,0.8313,60,2.3824,0.5263,0.5886,0
27,1.08,1.872,0.468,intro,0.120943,granular_texture,0.175625,0.200051,0.148029,0.476294,0.8328,58,2.393,0.4895,0.7489,0
28,1.12,1.9413,0.4853,intro,0.121013,granular_texture,0.171243,0.167886,0.187711,0.47316,0.8324,57,2.3907,0.4728,0.8819,0
29,1.16,2.0107,0.5027,intro,0.121085,granular_texture,0.178729,0.144244,0.221306,0.45572,0.8304,56,2.3762,0.4739,0.9946,0
30,1.2,2.08,0.52,intro,0.12116,granular_texture,0.194559,0.125484,0.249408,0.430549,0.8274,55,2.3551,0.4871,1.0888,0
31,1.24,2.1493,0.5373,intro,0.121237,granular_texture,0.218355,0.111303,0.260087,0.410255,0.825,55,2.3382,0.5119,1.1247,0
32,1.28,2.2187,0.5547,intro,0.121317,granular_texture,0.247501,0.101734,0.240954,0.40981,0.825,54,2.3382,0.545,1.0606,0
33,1.32,2.288,0.572,intro,0.121399,granular_texture,0.275977,0.096185,0.192432,0.435405,0.8281,54,2.3603,0.5786,0.8982,0
34,1.36,2.3573,0.5893,intro,0.121483,granular_texture,0.301528,0.09447,0.134017,0.469985,0.8323,54,2.3901,0.61,0.7026,0
35,1.4,2.4267,0.6067,intro,0.12157,granular_texture,0.310824,0.091119,0.083405,0.514652,0.8377,54,2.4284,0.6204,0.5331,0
36,1.44,2.496,0.624,intro,0.121659,granular_texture,0.303992,0.084217,0.053612,0.55818,0.8429,54,2.4658,0.6095,0.4334,0
37,1.48,2.5653,0.6413,intro,0.12175,granular_texture,0.295483,0.078808,0.041848,0.583861,0.8461,53,2.4881,0.5969,0.3941,0
38,1.52,2.6347,0.6587,intro,0.121844,granular_texture,0.297489,0.081112,0.038641,0.582758,0.846,53,2.4876,0.6003,0.3835,0
39,1.56,2.704,0.676,intro,0.12194,granular_texture,0.314423,0.093418,0.038378,0.553781,0.8425,54,2.4633,0.6257,0.3827,0
40,1.6,2.7733,0.6933,intro,0.122039,granular_texture,0.342367,0.115679,0.04162,0.500334,0.8362,55,2.4184,0.6684,0.3937,0
41,1.64,2.8427,0.7107,intro,0.122139,granular_texture,0.366894,0.144495,0.055743,0.432868,0.8281,56,2.3615,0.7092,0.4411,0
42,1.68,2.912,0.728,intro,0.122242,tension_chords,0.373193,0.172238,0.08378,0.370789,0.8207,57,2.3112,0.7268,0.5351,0
43,1.72,2.9813,0.7453,intro,0.122348,tension_chords,0.361639,0.192874,0.11662,0.328866,0.8157,58,2.3018,0.7196,0.6453,0
44,1.76,3.0507,0.7627,intro,0.122455,tension_chords,0.342769,0.205582,0.148978,0.302671,0.8126,59,2.2863,0.7004,0.7538,0
