frame,time_seconds,beat_position,bar_position,dominant_slot,tension_chords,glassy_arps,broken_beat,granular_texture
0,0.0,0.0,0.0,glassy_arps,0.233104,0.47577,0.240522,0.050605
1,0.04,0.0693,0.0173,glassy_arps,0.307079,0.501157,0.159309,0.032455
2,0.08,0.1387,0.0347,glassy_arps,0.374058,0.496016,0.092605,0.03732
3,0.12,0.208,0.052,glassy_arps,0.416653,0.450031,0.05234,0.080976
4,0.16,0.2773,0.0693,tension_chords,0.417568,0.35781,0.035983,0.188638
5,0.2,0.3467,0.0867,tension_chords,0.396383,0.256276,0.031003,0.316337
6,0.24,0.416,0.104,granular_texture,0.379032,0.17366,0.028575,0.418732
7,0.28,0.4853,0.1213,granular_texture,0.377634,0.115069,0.029614,0.477683
8,0.32,0.5547,0.1387,granular_texture,0.423684,0.081898,0.047006,0.447411
9,0.36,0.624,0.156,tension_chords,0.527845,0.064968,0.112743,0.294444
10,0.4,0.6933,0.1733,tension_chords,0.575863,0.050085,0.252877,0.121175
11,0.44,0.7627,0.1907,tension_chords,0.511085,0.038042,0.407096,0.043777
12,0.48,0.832,0.208,broken_beat,0.438947,0.032601,0.495844,0.032608
13,0.52,0.9013,0.2253,broken_beat,0.406224,0.031728,0.51633,0.045718
14,0.56,0.9707,0.2427,broken_beat,0.376641,0.033099,0.475062,0.115198
15,0.6,1.04,0.26,broken_beat,0.334445,0.040424,0.388727,0.236405
16,0.64,1.1093,0.2773,granular_texture,0.293178,0.06226,0.285774,0.358788
17,0.68,1.1787,0.2947,granular_texture,0.262437,0.107317,0.190102,0.440144
18,0.72,1.248,0.312,granular_texture,0.241169,0.177703,0.114838,0.466289
19,0.76,1.3173,0.3293,granular_texture,0.234413,0.279582,0.069683,0.416322
20,0.8,1.3867,0.3467,glassy_arps,0.246088,0.441667,0.054411,0.257833
21,0.84,1.456,0.364,glassy_arps,0.234115,0.611439,0.054549,0.099896
22,0.88,1.5253,0.3813,glassy_arps,0.188716,0.701139,0.054733,0.055411
23,0.92,1.5947,0.3987,glassy_arps,0.145019,0.742404,0.054545,0.058032
24,0.96,1.664,0.416,glassy_arps,0.105911,0.713672,0.064322,0.116094
25,1.0,1.7333,0.4333,glassy_arps,0.070207,0.585705,0.104231,0.239856
26,1.04,1.8027,0.4507,glassy_arps,0.045306,0.430206,0.175016,0.349472
27,1.08,1.872,0.468,granular_texture,0.032843,0.314977,0.249057,0.403123
28,1.12,1.9413,0.4853,granular_texture,0.029165,0.242433,0.322859,0.405542
29,1.16,2.0107,0.5027,broken_beat,0.030933,0.193284,0.412104,0.363679
30,1.2,2.08,0.52,broken_beat,0.037587,0.157856,0.520298,0.284258
31,1.24,2.1493,0.5373,broken_beat,0.055128,0.135405,0.645076,0.164391
32,1.28,2.2187,0.5547,broken_beat,0.089658,0.117655,0.714209,0.078478
33,1.32,2.288,0.572,broken_beat,0.147847,0.107,0.661426,0.083726
34,1.36,2.3573,0.5893,broken_beat,0.236004,0.109134,0.501333,0.153529
35,1.4,2.4267,0.6067,granular_texture,0.283956,0.097442,0.253584,0.365018
36,1.44,2.496,0.624,granular_texture,0.264273,0.071395,0.102699,0.561632
37,1.48,2.5653,0.6413,granular_texture,0.245525,0.056008,0.055858,0.64261
38,1.52,2.6347,0.6587,granular_texture,0.256281,0.05955,0.045246,0.638922
39,1.56,2.704,0.676,granular_texture,0.302302,0.085045,0.044602,0.56805
40,1.6,2.7733,0.6933,granular_texture,0.380189,0.139105,0.053076,0.42763
41,1.64,2.8427,0.7107,tension_chords,0.454567,0.217537,0.087285,0.240611
42,1.68,2.912,0.728,tension_chords,0.473247,0.288096,0.14986,0.088797
43,1.72,2.9813,0.7453,tension_chords,0.429985,0.318728,0.212828,0.038459
44,1.76,3.0507,0.7627,tension_chords,0.37682,0.323925,0.265278,0.033978
45,1.8,3.12,0.78,tension_chords,0.330048,0.313415,0.295242,0.061294
46,1.84,3.1893,0.7973,broken_beat,0.291722,0.29195,0.293398,0.12293
47,1.88,3.2587,0.8147,glassy_arps,0.267815,0.269807,0.267551,0.194828
48,1.92,3.328,0.832,tension_chords,0.263307,0.255117,0.23044,0.251136
49,1.96,3.3973,0.8493,tension_chords,0.282766,0.251527,0.190171,0.275536
50,2.0,3.4667,0.8667,tension_chords,0.332684,0.25902,0.149886,0.25841
51,2.04,3.536,0.884,tension_chords,0.41892,0.272072,0.111224,0.197785
52,2.08,3.6053,0.9013,tension_chords,0.531453,0.274866,0.07868,0.115001
53,2.12,3.6747,0.9187,tension_chords,0.631595,0.248307,0.060052,0.060046
54,2.16,3.744,0.936,tension_chords,0.690119,0.194812,0.057771,0.057299
55,2.2,3.8133,0.9533,tension_chords,0.702873,0.134393,0.061776,0.100959
56,2.24,3.8827,0.9707,tension_chords,0.615079,0.082143,0.060266,0.242512
57,2.28,3.952,0.988,tension_chords,0.466291,0.054248,0.064997,0.414464
58,2.32,4.0213,1.0053,granular_texture,0.331464,0.043449,0.093965,0.531122
59,2.36,4.0907,1.0227,granular_texture,0.239231,0.039712,0.160494,0.560563
60,2.4,4.16,1.04,granular_texture,0.181238,0.0413,0.27518,0.502282
